

Data analysis for each instance 
AVG,MED,MAX,MIN
AVGs,-0.269,-0.268,-0.095,-0.476,
MEDs,-0.269,-0.268,-0.095,-0.476,
MEDs,-0.269,-0.268,-0.095,-0.476,
MEDs,-0.269,-0.268,-0.095,-0.476,


AVGs,0.226,0.23,0.471,-0.013,
MEDs,0.226,0.23,0.471,-0.013,
MEDs,0.226,0.23,0.471,-0.013,
MEDs,0.226,0.23,0.471,-0.013,


AVGs,0.054,0.064,0.417,-0.176,
MEDs,0.054,0.064,0.417,-0.176,
MEDs,0.054,0.064,0.417,-0.176,
MEDs,0.054,0.064,0.417,-0.176,


AVGs,-0.041,-0.03,0.161,-0.363,
MEDs,-0.04,-0.023,0.194,-0.411,
MAXs,0.029,0.046,0.26,-0.285,
MINs,-0.115,-0.103,0.122,-0.433,



